iter	Passed	Remaining
470	690	775
471	691	773
472	692	771
473	693	769
474	695	768
475	696	766
476	697	764
477	698	763
478	700	761
479	701	760
480	702	758
481	704	756
482	705	754
483	706	753
484	707	751
485	709	749
486	710	748
487	711	746
488	712	744
489	713	742
490	715	741
491	716	739
492	717	738
493	719	736
494	720	734
495	721	733
496	722	731
497	723	729
498	725	728
499	726	726
500	727	724
501	729	723
502	730	721
503	731	720
504	733	718
505	734	717
506	735	715
507	737	713
508	738	712
509	739	710
510	741	709
511	742	707
512	744	706
513	745	704
514	747	703
515	748	701
516	749	700
517	750	698
518	752	696
519	753	695
520	754	693
521	756	692
522	757	690
523	758	689
524	760	687
525	761	686
526	762	684
527	763	682
528	765	681
529	766	679
530	767	678
531	769	676
532	770	675
533	771	673
534	773	672
535	774	670
536	775	669
537	777	667
538	778	665
539	779	664
540	781	662
541	782	661
542	783	659
543	785	658
544	786	656
545	787	654
546	788	653
547	789	651
548	791	649
549	792	648
550	793	646
551	794	645
552	796	643
553	798	642
554	799	641
555	800	639
556	802	637
557	803	636
558	804	634
559	805	633
560	806	631
561	808	629
562	809	628
563	810	626
564	811	624
565	812	623
566	814	621
567	815	620
568	816	618
569	818	617
570	819	615
571	821	614
572	822	612
573	823	611
574	824	609
575	826	608
576	827	606
577	828	605
578	830	603
579	831	602
580	832	600
581	834	599
582	835	597
583	836	596
584	838	594
585	839	592
586	840	591
587	841	589
588	843	588
589	844	586
590	845	585
591	846	583
592	847	581
593	848	580
594	850	578
595	851	577
596	852	575
597	853	573
598	854	572
599	856	570
600	857	569
601	858	567
602	859	565
603	860	564
604	861	562
605	863	561
606	864	559
607	865	557
608	866	556
609	868	554
610	869	553
611	870	551
612	871	550
613	872	548
614	874	547
615	875	545
616	876	544
617	877	542
618	878	540
619	880	539
620	881	537
621	882	536
622	884	534
623	885	533
624	886	531
625	887	530
626	889	528
627	890	527
628	891	525
629	892	524
630	894	522
631	895	521
632	896	519
633	898	518
634	899	517
635	900	515
636	902	514
637	903	512
638	904	510
639	905	509
640	906	507
641	907	506
642	908	504
643	909	502
644	910	501
645	912	499
646	913	498
647	914	496
648	916	495
649	917	494
650	918	492
651	920	491
652	921	489
653	922	488
654	923	486
655	925	485
656	926	483
657	927	482
658	928	480
659	930	479
660	931	477
661	932	476
662	934	474
663	935	473
664	936	471
665	937	470
666	938	468
667	940	467
668	941	465
669	942	464
670	943	462
671	944	461
672	946	459
673	947	458
674	948	456
675	949	455
676	951	453
677	952	452
678	953	450
679	954	449
680	956	447
681	957	446
682	958	445
683	960	443
684	961	442
685	962	440
686	964	439
687	965	437
688	966	436
689	967	434
690	968	433
691	970	431
692	971	430
693	972	428
694	973	427
695	975	425
696	976	424
697	977	423
698	979	421
699	980	420
700	981	418
701	982	417
702	983	415
703	985	414
704	986	412
705	987	411
706	988	409
707	989	408
708	991	406
709	992	405
710	993	403
711	995	402
712	996	401
713	997	399
714	999	398
715	1000	396
716	1001	395
717	1002	393
718	1004	392
719	1005	391
720	1006	389
721	1008	388
722	1009	386
723	1010	385
724	1011	383
725	1013	382
726	1014	381
727	1016	379
728	1017	378
729	1018	376
730	1020	375
731	1021	374
732	1022	372
733	1024	371
734	1025	369
735	1026	368
736	1028	366
737	1029	365
738	1030	364
739	1032	362
740	1033	361
741	1034	359
742	1036	358
743	1037	357
744	1039	355
745	1040	354
746	1041	352
747	1044	351
748	1045	350
749	1046	348
750	1047	347
751	1049	346
752	1050	344
753	1051	343
754	1053	341
755	1054	340
756	1055	338
757	1056	337
758	1057	335
759	1058	334
760	1059	332
761	1060	331
762	1061	329
763	1063	328
764	1064	326
765	1065	325
766	1066	323
767	1067	322
768	1068	320
769	1069	319
770	1070	317
771	1071	316
772	1072	314
773	1073	313
774	1074	312
775	1075	310
776	1077	309
777	1078	307
778	1079	306
779	1080	304
780	1081	303
781	1083	301
782	1084	300
783	1085	298
784	1086	297
785	1087	296
786	1088	294
787	1089	293
788	1090	291
789	1092	290
790	1093	288
791	1094	287
792	1095	285
793	1096	284
794	1097	283
795	1098	281
796	1099	280
797	1100	278
798	1102	277
799	1103	275
800	1104	274
801	1105	272
802	1106	271
803	1107	269
804	1108	268
805	1109	266
806	1110	265
807	1111	264
808	1112	262
809	1113	261
810	1115	259
811	1116	258
812	1117	257
813	1118	255
814	1119	254
815	1120	252
816	1122	251
817	1123	249
818	1124	248
819	1125	247
820	1126	245
821	1127	244
822	1128	242
823	1129	241
824	1130	239
825	1132	238
826	1133	237
827	1134	235
828	1135	234
829	1136	232
830	1137	231
831	1138	229
832	1139	228
833	1140	226
834	1141	225
835	1142	224
836	1143	222
837	1144	221
838	1146	219
839	1147	218
840	1148	217
841	1149	215
842	1150	214
843	1151	212
844	1152	211
845	1153	209
846	1154	208
847	1154	207
848	1156	205
849	1157	204
850	1158	202
851	1159	201
852	1160	200
853	1161	198
854	1162	197
855	1163	195
856	1165	194
857	1166	193
858	1167	191
859	1168	190
860	1169	188
861	1170	187
862	1171	185
863	1172	184
864	1173	183
865	1174	181
866	1175	180
867	1176	178
868	1178	177
869	1179	176
870	1180	174
871	1181	173
872	1182	172
873	1183	170
874	1184	169
875	1185	167
876	1187	166
877	1188	165
878	1189	163
879	1190	162
